"","Name","DriveAcc","DriveDist","Money","Score2","Putts","ApproachDist","PuttsMadeDist","ClubSpeed","OnePuttPerc","Score1"
"110","Billy Horschel","64.71","291.8","$2,187,249","70.26","28.99","157.8","4' 0""","112.05","34.26","70.29"
"111","Kevin Streelman","67.99","291.8","$1,588,881","70.28","29.37","159.6","3' 8""","112.49","35.56","70.75"
"112","Bill Haas","61.33","291.5","$730,806","70.38","28.90","160.8","3' 7""","113.41","37.57","70.19"
"113","Ian Poulter","63.60","291.5","$2,162,306","70.28","28.59","165.2","3' 9""","111.90","34.03","70.13"
"114","Adam Hadwin","67.77","291.2","$2,039,012","70.23","28.68","159.6","4' 2""","111.04","41.67","69.14"
"115","Austin Cook","70.26","291.0","$837,788","70.42","28.77","162.6","4' 3""","110.74","34.13","68.93"
"116","Kramer Hickok","69.25","291.0","$494,424","70.48","29.32","158.9","3' 11""","112.47","38.38","70.18"
"117","Denny McCarthy","65.84","290.8","$925,156","69.54","28.27","167.4","4' 8""","112.06","42.03","69.26"
"118","Tom Hoge","61.81","290.4","$573,464","70.81","29.26","163.5","3' 8""","111.31","36.44","70.40"
"119","J.J. Spaun","63.56","290.4","$1,205,977","70.17","29.29","165.0","4' 1""","111.59","36.85","69.30"
"120","Fabian Gomez","68.17","290.2","$433,027","70.40","29.18","163.3","4' 2""","109.20","37.92","70.22"
"121","Kelly Kraft","61.65","290.2","$905,681","70.94","28.53","162.4","4' 0""","110.40","39.72","69.95"
"122","Anirban Lahiri","60.08","290.2","$419,620","71.01","28.64","158.7","4' 3""","111.06","42.98","69.32"
"123","Jose de Jesus Rodriguez","60.31","290.2","$394,402","70.46","28.57","160.2","3' 12""","110.60","43.16","69.81"
"124","Jason Dufner","67.79","290.1","$926,365","70.72","30.14","160.5","4' 3""","112.17","33.56","70.63"
"125","Chris Stroud","58.29","289.8","$1,075,552","70.97","28.74","162.6","4' 6""","110.76","39.93","70.94"
"126","Adam Svensson","65.24","289.8","$405,730","70.18","29.36","163.3","4' 3""","114.07","39.10","69.85"
"127","Nate Lashley","65.19","289.6","$2,030,287","69.96","28.63","157.8","4' 6""","111.88","41.67","69.00"
"128","Kevin Na","64.05","289.6","$2,257,309","70.90","28.92","170.1","4' 5""","114.18","36.11","71.29"
"129","Matt Kuchar","67.41","289.5","$6,294,690","69.55","28.96","160.1","4' 1""","108.02","37.85","67.75"
"130","Jonas Blixt","64.31","289.4","$838,271","70.32","28.75","164.6","4' 7""","111.29","41.41","70.45"
"131","Curtis Luck","55.91","289.4","$432,569","71.14","28.47","164.3","4' 4""","113.67","40.63","71.00"
"132","Rory Sabbatini","66.92","289.4","$2,382,298","69.83","28.47","167.9","4' 4""","111.09","39.14","70.00"
"133","Ryan Blaum","62.50","289.2","$755,802","70.52","28.66","164.3","4' 1""","109.09","40.00","70.03"
"134","Russell Knox","65.90","289.2","$1,132,825","70.25","29.32","160.1","3' 9""","110.00","39.51","70.72"
"135","Kyle Stanley","69.08","288.9","$1,117,604","70.72","29.43","163.1","4' 0""","109.73","36.42","70.39"
"136","J.J. Henry","65.06","288.8","$177,232","71.48","30.13","161.5","3' 5""","111.92","33.76","71.85"
"137","Francesco Molinari","66.45","288.7","$3,467,143","71.09","28.70","160.2","3' 9""","111.11","41.67","73.25"
"138","Robert Streb","60.93","288.7","$796,525","70.78","29.21","165.4","3' 10""","113.88","38.03","69.50"
"139","Scott Brown","65.41","288.6","$999,457","70.33","29.09","167.4","4' 6""","112.49","39.13","69.35"
"140","Webb Simpson","66.82","288.6","$4,690,572","69.13","28.09","173.1","4' 5""","109.64","39.35","67.83"
"141","Brian Harman","68.17","288.4","$1,342,778","70.57","28.83","156.8","3' 9""","108.12","40.82","71.74"
"142","Michael Thompson","69.12","288.4","$1,307,816","70.15","28.58","167.2","4' 7""","110.70","41.36","69.33"
"143","Jim Herman","70.15","288.3","$678,185","70.88","29.52","165.7","3' 9""","113.33","33.99","70.71"
"144","Tyler Duncan","69.63","288.2","$596,502","70.69","29.52","160.0","3' 7""","112.47","36.75","70.81"
"145","Russell Henley","69.33","287.7","$1,133,773","70.10","29.17","165.4","3' 11""","110.10","34.97","70.18"
